2,1,390.39,136.38,102.58,70.18,0.95,-1,-1,-1
2,3,614.47,111.14,97.49,56.14,0.95,-1,-1,-1
2,2,522.56,69.23,53.98,43.23,0.95,-1,-1,-1
2,5,632.44,76.02,48.45,37.99,0.93,-1,-1,-1
2,4,571.94,57.27,43.71,31.66,0.93,-1,-1,-1
2,6,597.85,45.91,34.80,29.20,0.87,-1,-1,-1
2,7,652.38,60.10,35.96,32.50,0.80,-1,-1,-1
2,8,667.61,49.78,30.44,30.40,0.55,-1,-1,-1
3,1,262.21,186.88,147.09,99.52,0.97,-1,-1,-1
3,2,506.41,73.02,59.68,47.57,0.95,-1,-1,-1
3,3,687.03,123.67,149.88,61.49,0.95,-1,-1,-1
3,5,623.25,81.00,52.56,43.31,0.94,-1,-1,-1
3,4,563.16,60.54,46.08,32.49,0.93,-1,-1,-1
3,6,593.70,47.35,35.92,29.68,0.89,-1,-1,-1
3,7,649.03,59.91,37.41,34.53,0.85,-1,-1,-1
3,8,666.49,49.18,31.06,31.64,0.80,-1,-1,-1
3,9,921.45,64.38,29.57,25.70,0.63,-1,-1,-1
4,2,472.24,81.94,72.82,51.41,0.96,-1,-1,-1
4,3,818.61,132.55,139.18,55.18,0.95,-1,-1,-1
4,4,550.69,65.39,49.78,35.28,0.94,-1,-1,-1
4,5,610.85,89.38,57.10,48.20,0.94,-1,-1,-1
4,1,0.17,307.71,223.83,189.32,0.93,-1,-1,-1
4,6,586.44,50.41,37.52,30.45,0.91,-1,-1,-1
4,7,643.93,61.81,41.06,35.50,0.89,-1,-1,-1
4,8,663.96,50.01,32.50,32.99,0.88,-1,-1,-1
4,10,679.95,35.31,28.37,24.14,0.83,-1,-1,-1
4,9,920.57,64.32,30.22,26.00,0.64,-1,-1,-1
5,2,413.19,92.71,90.72,55.92,0.96,-1,-1,-1
5,3,917.30,128.02,83.41,48.42,0.95,-1,-1,-1
5,4,534.78,74.18,53.59,38.51,0.95,-1,-1,-1
5,5,590.54,104.69,65.28,53.56,0.95,-1,-1,-1
5,6,575.90,53.77,40.83,33.32,0.93,-1,-1,-1
5,7,638.53,66.86,43.88,37.41,0.93,-1,-1,-1
5,11,611.57,43.98,34.29,25.71,0.89,-1,-1,-1
5,10,657.47,54.18,36.74,32.11,0.87,-1,-1,-1
5,9,921.34,65.20,29.74,25.11,0.74,-1,-1,-1
5,8,679.18,35.64,29.11,23.99,0.73,-1,-1,-1
6,2,329.02,103.92,113.54,63.18,0.96,-1,-1,-1
6,5,557.80,126.62,78.83,65.63,0.96,-1,-1,-1
6,4,511.18,85.80,61.65,45.35,0.94,-1,-1,-1
6,6,561.72,59.88,45.05,35.78,0.93,-1,-1,-1
6,3,953.03,116.05,53.19,43.49,0.93,-1,-1,-1
6,7,631.20,74.35,46.90,40.27,0.92,-1,-1,-1
6,11,603.79,46.03,38.71,28.30,0.92,-1,-1,-1
6,10,654.53,58.05,37.02,32.26,0.90,-1,-1,-1
6,8,679.76,35.81,28.38,24.69,0.83,-1,-1,-1
6,9,922.10,64.91,29.87,25.31,0.76,-1,-1,-1
7,5,499.75,163.25,101.68,84.40,0.96,-1,-1,-1
7,2,205.75,117.17,144.04,70.06,0.96,-1,-1,-1
7,6,540.22,68.70,50.64,40.10,0.94,-1,-1,-1
7,4,470.07,104.84,73.62,52.93,0.94,-1,-1,-1
7,7,617.22,84.42,52.92,44.74,0.94,-1,-1,-1
7,11,592.62,50.63,40.95,30.21,0.92,-1,-1,-1
7,10,644.72,62.18,41.25,35.20,0.89,-1,-1,-1
7,12,658.65,48.20,35.95,27.95,0.84,-1,-1,-1
